"id","name_tc","description_tc","slug","series_last_rows","series_names"
"128","台灣-NMI服務業指數","台灣非製造業採購經理人指數（ Non-manufacturing Purchasing Managers’Index，NMI）為一企業商業活動綜合性指標，具有即時發布及領先景氣循環轉折點等特性，被視為總體經濟領先指標，每月對受訪企業的採購經理人進行調查，針對各項經濟活動與上月進行比，並依調查結果編製成的指數，以商業活動、新增訂單數量、人力僱用數量，以及供應商交貨時間等 4 項擴散指數（Diffusion Index）綜合編製而成  ，均以 50 作為分界點， 50 以上代表景氣擴張， 50 以下代表景氣衰退。

","tw-nmi","[[[""2025-02-01"",""48.3000""],[""2025-03-01"",""38.9000""]],[[""2025-02-01"",""20007.0000""],[""2025-03-01"",""23879.0000""]]]","[""台灣-非製造業指數NMI""]"
"129","台灣-服務業PMI細項","台灣非製造業採購經理人指數（ Non-manufacturing Purchasing Managers’Index，NMI）為一綜合性指標，每月對受訪企業的採購經理人進行調查，針對各項經濟活動與上月進行比，並依調查結果編製成的指數，以商業活動、新增訂單數量、人力僱用數量，以及供應商交貨時間等 4 項擴散指數（Diffusion Index）綜合編製而成  ，其他參考指標則包括存貨、存貨觀感、原物料價格、服務輸出／出口、服務輸入／進口、服務收費價格、未完成訂單，均以 50 作為分界點， 50 以上代表景氣擴張， 50 以下代表景氣衰退。

NMI 重要 4 大細項含義：
1. 商業活動是衡量非製造業廠商於受訪當月產出水準較上月之變化。由於多數非製造業並無生產實體商品，故衡量產出水準方式，以訪問廠商營業收入變化為主。
2. 新增訂單數量是衡量廠商於受訪當月所接獲之訂單較上月之增減變化。一般而言，企業在接獲訂單後開始生產或提供服務，並因此聘僱勞工並向上游供應商進貨，因此，新增訂單可說是 NMI 組成指標中最具領先性者。
3. 人力僱用數量是衡量廠商於受訪當月聘僱員工較上月之增減變化。一般而言，企業往往視服務需求狀況，再決定投入人力多寡，故人力僱用數量在 NMI 組成指標中，較具落後性質。
4. 供應商交貨時間通常指企業受託工作或服務完成所需時間（Lead time）。一般而言，當景氣熱絡時，訂單需求增加，廠商工作完成時間將拉長（亦即工作或服務速度變慢）；反之，當景氣不佳時，訂單需求減少，廠商完成受託工作所需時間將縮短（亦即工作或服務速度變快）。但有時供應商交貨時間上升，可能來自成本面因素，例如：原物料短缺等。
","tw-nmi-items","[[[""2024-12-01"",""59.7000""],[""2025-01-01"",""56.9000""]],[[""2024-12-01"",""57.2000""],[""2025-01-01"",""54.2000""]],[[""2024-12-01"",""55.6000""],[""2025-01-01"",""54.8000""]],[[""2024-12-01"",""53.6000""],[""2025-01-01"",""54.0000""]],[[""2024-12-01"",""50.6000""],[""2025-01-01"",""51.6000""]],[[""2024-12-01"",""58.8000""],[""2025-01-01"",""63.1000""]],[[""2024-12-01"",""50.7000""],[""2025-01-01"",""51.6000""]],[[""2024-12-01"",""55.5000""],[""2025-01-01"",""56.1000""]],[[""2024-12-01"",""51.4000""],[""2025-01-01"",""52.7000""]],[[""2024-12-01"",""49.2000""],[""2025-01-01"",""51.7000""]],[[""2024-12-01"",""50.2000""],[""2025-01-01"",""51.0000""]]]","[""商業／活動生產"", ""新訂單"", ""雇員"", ""供應商交貨"", ""存貨"", ""原物料價格"", ""存貨觀感"", ""服務收費價格"", ""服務輸入"", ""服務輸出"", ""未完成訂單""]"
"130","台灣-未來6個月景氣展望","製造業指數和非製造業指數底下細項之一「未來六個月景氣狀況」代表採購經理人對台灣未來製造業和服務業景氣看好程度，可判斷經濟增長動能的可持續性，以 50 作為分界點， 50 以上代表景氣擴張， 50 以下代表景氣衰退。","tw-6months-industries","[[[""2025-02-01"",""54.3000""],[""2025-03-01"",""59.1000""]],[[""2025-02-01"",""51.4000""],[""2025-03-01"",""48.8000""]]]","[""製造業"", ""服務業""]"
"131","台灣-就業及失業狀況","台灣整體就業狀況長年保持穩定，非農就業人數穩定上升、失業率維持低檔。

非農業部門就業人數指非農業外在資料標準週內年滿 15 歲從事有酬工作者，或從事 15 小時以上之無酬家屬工作。

失業率指失業者占勞動力之比率。
","tw-employ","[[[""2025-01-01"",""11130.0000""],[""2025-02-01"",""11129.0000""]],[[""2025-01-01"",""3.3000""],[""2025-02-01"",""3.3400""]],[[""2025-01-01"",""3.3700""],[""2025-02-01"",""3.3500""]]]","[""台灣-非農業部門就業人數(L)"", ""台灣-失業率(R)"", ""台灣-失業率(SA,R)""]"
"132","台灣-企業用電總量","自 2011 年開始台灣企業用電總量成長逐漸趨緩。","tw-electric-power-consumption","[[[""2024-12-01"",""13.3500""],[""2025-01-01"",""12.4800""]],[[""2024-12-01"",-0.5216095380029827],[""2025-01-01"",-5.022831050228311]]]","[""台灣-企業總用電量(L)"", ""台灣-企業總用電量(年增率,R)""]"
"133","台灣-M1B vs. M2","透過 M1 及 M2 貨幣供給的狀況，判斷市場的資金是否充沛

M1B＝M1A（通貨淨額 ＋ 支票存款 ＋ 活期存款）＋活期儲蓄存款，為人民手邊可隨時動用的資金。
M2＝M1B＋準備貨幣（如定期存款、郵政儲金及外匯存款），流動性較 M1B 低，代表整體市場的資金。

當 M1B 年增率 - M2 年增率 ＞ 0，表示流動資金成長較定存快。
當 M1B 年增率 - M2 年增率 ＜ 0，表示流動資金成長較定存慢。","tw-m1b-m2","[[[""2025-02-01"",""5.1900""],[""2025-03-01"",""4.3800""]],[[""2025-02-01"",""3.1000""],[""2025-03-01"",""1.8200""]],[[""2025-02-01"",""-2.0901""],[""2025-03-01"",""-2.5600""]]]","[""台灣-貨幣總計數M2(年增率,L)"", ""台灣-貨幣總計數M1B(年增率,L)"", ""台灣-M1B-M2(R)""]"
"134","台灣-PMI製造業-產業","台灣採購經理人指數（Manufacturing Purchasing Managers’Index，PMI）為一綜合性指標，每月對受訪企業的採購經理人進行調查，針對各項經濟活動與上月進行比，並依調查結果編製成的指數，其中會針對六大產業進行調查，分別為食品暨紡織產業、交通工具產業、電子暨光學產業、基礎原物料產業、電力暨機械設備產業與化學暨生技醫療產業，均以 50 作為分界點， 50 以上代表景氣擴張， 50 以下代表景氣衰退。","tw-pmi-industries","[[[""2025-02-01"",""55.0000""],[""2025-03-01"",""54.6000""]],[[""2025-02-01"",""49.5000""],[""2025-03-01"",""52.6000""]],[[""2025-02-01"",""49.8000""],[""2025-03-01"",""58.6000""]],[[""2025-02-01"",""59.5000""],[""2025-03-01"",""59.1000""]],[[""2025-02-01"",""52.5000""],[""2025-03-01"",""58.8000""]],[[""2025-02-01"",""50.4000""],[""2025-03-01"",""59.1000""]]]","[""生技化學業"", ""交通工具業"", ""原物料業"", ""機械設備業"", ""電子光學業"", ""食品紡織業""]"
"135","台灣-NMI服務業-產業","台灣非製造業採購經理人指數（ Non-manufacturing Purchasing Managers’Index，NMI）為一綜合性指標，每月對受訪企業的採購經理人進行調查，針對各項經濟活動與上月進行比，其中針對八大產業進行調查，分別為教育暨專業科學業、營造暨不動產業、資訊暨通訊傳播業、零售業、金融保險業、住宿餐飲業、運輸倉儲業、以及批發業 ，均以 50 作為分界點， 50 以上代表景氣擴張， 50 以下代表景氣衰退。

","tw-nmi-industries","[[[""2025-02-01"",""42.7000""],[""2025-03-01"",""39.8000""]],[[""2025-02-01"",""46.6000""],[""2025-03-01"",""55.3000""]],[[""2025-02-01"",""56.3000""],[""2025-03-01"",""56.9000""]],[[""2025-02-01"",""53.0000""],[""2025-03-01"",""59.7000""]],[[""2025-02-01"",""54.2000""],[""2025-03-01"",""56.3000""]],[[""2025-02-01"",""50.0000""],[""2025-03-01"",""57.6000""]],[[""2025-02-01"",""48.2000""],[""2025-03-01"",""54.6000""]],[[""2025-02-01"",""33.8000""],[""2025-03-01"",""37.1000""]]]","[""住宿餐飲"", ""批發"", ""教育科學"", ""營造不動產"", ""資訊通訊"", ""運輸倉儲"", ""金融保險"", ""零售業""]"
"136","台灣-外資期貨未平倉口數vs.台股","此為外資在期貨市場交易的多空未平倉口數的淨額，外資計畫大量投資台股前，會先購買台指期以將價差買回來，因此當台股多空轉折時，可留意外資在台指期未平倉的布局。

外資未平倉口數淨額 = 外資多單未平倉（留倉）口數 - 外資空單未平倉（留倉）口數","tw-future-stock","[[[""2025-04-28"",""-24770.0000""],[""2025-04-29"",""-25366.0000""]],[[""2025-04-28"",""20034.4102""],[""2025-04-29"",""20232.6309""]]]","[""多空未平倉口數淨額-外資(L)"", ""加權股價指數(R)""]"
"137","台灣-三大法人期貨未平倉口數","三大法人期貨未平倉口數淨額，分別是依照自營商、投信、外資及陸資三個類別合計多個機構的多空淨額，代表眾多法人機構不同看法。

外資未平倉口數淨額 = 外資多單未平倉（留倉）口數 - 外資空單未平倉（留倉）口數

投信未平倉口數淨額 = 投信多單未平倉（留倉）口數 - 投信空單未平倉（留倉）口數

自營商未平倉口數淨額 = 自營商多單未平倉（留倉）口數 - 自營商空單未平倉（留倉）口數","tw-net-positions-on-open-interest","[[[""2025-04-21"",""-26570.0000""],[""2025-04-22"",""-27131.0000""]],[[""2025-04-21"",""33866.0000""],[""2025-04-22"",""30219.0000""]],[[""2025-04-21"",""574.0000""],[""2025-04-22"",""1274.0000""]]]","[""外資"", ""投信"", ""自營商""]"
"138","台灣-三大法人買賣超","三大法人買賣超顯示外資、投信、自營商對台股（上市）當日是買超或賣超。","tw-net-amount","[[[""2025-04-08"",""-34183.0016""],[""2025-04-09"",""-35776.1169""]],[[""2025-04-08"",""-1708.6431""],[""2025-04-09"",""123.7430""]],[[""2025-04-08"",""-12672.2906""],[""2025-04-09"",""-10318.8786""]]]","[""外資"", ""投信"", ""自營商""]"
"139","台灣-外匯存底","外匯存底是央行所持有的國外資產，包含外國的貨幣（現金、存款、支票、本票、匯票等） 與可以兌換成貨幣的有價證券（公債、國庫券、股票、公司債等），不能直接在國內使用。台灣外匯存底維持高檔 5000 多億美元，其中外匯存底收益為央行最大收入來源，2019 年度利息收入約占總收入 80% 。","tw-foreign-exchange-reserves","[[[""2025-01-01"",""577.5800""],[""2025-02-01"",""577.5800""]]]","[""台灣-外匯存底""]"
"141","台灣-領先除落後指標vs.台股","「景氣領先指標」指具有領先景氣變動性質之指標，其轉折點常先於景氣循環轉折點發生。台灣領先指標由外銷訂單動向指數（以家數計）、實質貨幣總計數 M1B 、股價指數、工業及服務業受僱員工淨進入率、建築物開工樓地板面積（住宅、商辦、工業倉儲）、實質半導體設備進口值，及製造業營業氣候測驗點等 7 項構成項目組成，可用來判斷未來的景氣變動。

「景氣落後指標」指具落後景氣變動性質之指標，其轉折點常落後於景氣循環轉折點。台灣落後指標由失業率、製造業單位產出勞動成本指數、五大銀行新承做放款平均利率、全體金融機構放款與投資、製造業存貨價值等 5 項構成項目組成，可用在驗證過去領先、同時指標走勢是否正確。

觀察領先與落後指標的「比值」，可以預測股市的反轉點，該指標與台股走勢同向，以 1 為臨界點，比值超越 1 時尤其需要注意。

領先／落後指標怎麼用：

1. 領先／落後指標上升期：領先指標比落後指標上升地快，台股通常位於上升波段

2. 領先／落後指標下降期：領先指標比落後指標下降地快，台股位於下降波段

3. 領先／落後指標從高（低）峰反轉，通常代表台股已在相對高（低）點。

註：2024/3/4 公佈新版景氣指標中，同時指標及景氣燈號中以「工業及服務業加班工時」取代「非農業部門就業人數」，落後指標中以「五大銀行新承做放款平均利率」取代「金融業隔夜拆款利率」，領先指標的構成項目維持不變。","tw-lagging-leading-stock","[[[""2025-02-01"",1.0526015206879626],[""2025-03-01"",1.0574618158401758]],[[""2025-04-28"",""20034.4102""],[""2025-04-29"",""20232.6309""]]]","[""台灣-領先除落後指標(L)"", ""台灣-加權股價指數(R)""]"
"142","人民幣(在岸)","人民幣(CNY)於 1948 年 12 月 1 日開始流通，由中國人民銀行發行，根據 SWIFT 報告，人民幣為目前全球第五大活躍貨幣，佔全球支付總額約 2~3%。

人民幣本身又分為「在岸價」、「離岸價」和「中間價」。在岸價為中國外匯交易中心每日對外公布當日人民幣兌換美元、歐元、日圓及港幣的中間價，央行為主要的參與者，受央行政策影響較大；離岸價為中國以外可經營人民幣放款業務的市場，最活躍的離岸市場在香港，受國際因素影響較多，更能反映市場對於人民幣的供需","usd-cny","[[[""2025-04-25"",""7.2864""],[""2025-04-28"",""7.2981""]]]","[""美元/人民幣""]"
"143","台幣",,"usd-twd","[[[""2025-04-28"",""32.4650""],[""2025-04-29"",""32.4020""]]]","[""美元/台幣""]"
"144","馬幣","馬幣（令吉）在 1997 年亞洲金融危機時，受到外資大幅流出影響而重貶 85%，政府祭出資本管制政策（1998/09 ~ 2005/07）。

自 2014 年以來，強勢美元再起，本波東南亞貨幣中馬幣貶值幅度最大，已來到 1998 年水準。但受到出口增速影響，匯率逐漸回升。","usd-myr","[[[""2025-04-24"",""4.3700""],[""2025-04-25"",""4.3700""]]]","[""美元/馬幣""]"
"146","韓圜",,"usd-krw","[[[""2022-12-29"",""1274.3199""],[""2022-12-30"",""1260.2600""]]]","[""美元/韓圜""]"
"147","櫃買指數",,"tw-otc","[[[""2025-04-10"",""202.0600""],[""2025-04-11"",""204.9400""]]]","[""店頭OTC指數""]"
"148","電子指數",,"tw-taiex-electronics","[[[""2025-02-27"",""1258.3400""],[""2025-03-03"",""1235.0700""]]]","[""台灣-電子類指數""]"
"149","金融指數",,"tw-taiex-finance","[[[""2025-02-24"",""2162.6600""],[""2025-02-25"",""2162.2500""]]]","[""台灣-金融保險類指數""]"
"150","台灣加權指數",,"tw-twii","[[[""2025-04-28"",""20034.4102""],[""2025-04-29"",""20179.2207""]],[[""2025-02-01"",""20.4600""],[""2025-03-01"",""17.2800""]],[[""2025-02-01"",""37.0000""],[""2025-03-01"",""34.0000""]]]","[""台灣加權股價指數""]"
"151","台灣-國泰房地產可能成交價指數-各縣市","國泰房價指數（或稱國泰房地產可能成交價指數）為國泰建設與政治大學台灣房地產研究中心、不動產界學者合作編製，於每季發布研究成果，主要是針對「預售及新屋物件」，為國內房地產主要參考指標之一。

備註：信義房價指數的不同點在於其樣本為「純住中古屋物件」，並排除預售物件；因此國泰與信義房價指數兩者可分別代表台灣預售屋及中古屋的價格指標。

註：自 111Q1 起，基期為民國 110 年全年=100
","cathay-house-price-index","[[[""2024-07-01"",""132.6900""],[""2024-10-01"",""136.7300""]],[[""2024-07-01"",""164.5400""],[""2024-10-01"",""167.4700""]],[[""2024-07-01"",""166.5400""],[""2024-10-01"",""168.5700""]],[[""2024-07-01"",""174.0700""],[""2024-10-01"",""187.5600""]],[[""2024-07-01"",""164.6900""],[""2024-10-01"",""170.4200""]],[[""2024-07-01"",""158.4300""],[""2024-10-01"",""157.9100""]],[[""2024-07-01"",""151.1200""],[""2024-10-01"",""150.2300""]],[[""2024-07-01"",""158.9900""],[""2024-10-01"",""160.8100""]],[[""2024-07-01"",16.15283459964934],[""2024-10-01"",17.21699832349297]]]","[""台北市(L)"", ""新北市(L)"", ""桃園市(L)"", ""新竹縣市(L)"", ""台中市(L)"", ""台南市(L)"", ""高雄市(L)"", ""全國(L)"", ""全國(年增率,R)""]"
"152","台灣-國泰房地產可能成交價指數-全國","信義房價指數樣本為純住中古屋物件，並排除預售物件，範圍涵蓋全台各地區交易樣本；而國泰房價指數（國泰房地產可能成交價指數）則針對預售及新屋物件，涵蓋全省六都。信義及國泰指數分別代表中古屋及預售屋市場價格，此也為兩者主要差別。

註：自 111Q1 起，基期為民國 110 年全年=100","cathay-house-price-index-yoy","[[[""2024-07-01"",""158.9900""],[""2024-10-01"",""160.8100""]],[[""2024-07-01"",16.15283459964934],[""2024-10-01"",17.21699832349297]]]","[""國泰全國房價指數(L)"", ""國泰全國房價指數(年增率,R)""]"
"153","人民幣(離岸)","人民幣(CNY)於 1948 年 12 月 1 日開始流通，由中國人民銀行發行，根據 SWIFT 報告，人民幣為目前全球第五大活躍貨幣，佔全球支付總額約 2~3%。

人民幣本身又分為「在岸價」、「離岸價」和「中間價」。在岸價為中國外匯交易中心每日對外公布當日人民幣兌換美元、歐元、日圓及港幣的中間價，央行為主要的參與者，受央行政策影響較大；離岸價為中國以外可經營人民幣放款業務的市場，最活躍的離岸市場在香港，受國際因素影響較多，更能反映市場對於人民幣的供需","usd-cnh","[[[""2025-04-28"",""7.2836""],[""2025-04-29"",""7.2691""]]]","[""美元/人民幣(離岸)""]"
"154","台灣-景氣循環圖","台灣由於出口全世界商品，根據 M平方觀察，台灣的景氣循環落點往往反映著全球除美國以外的國家景氣概況。當落於第一象限時，透露著全球外需均為強勁，轉至二、三象限時則顯示全球外需逐步轉弱。

第一象限：景氣加速擴張
第二象限：成長趨緩
第三象限：景氣衰退
第四象限：景氣復甦，產業調整至一定階段，成長再度回升。

根據 M平方量化統計，投資台灣股市（加權指數）投資在第一、四象限勝率與報酬率最高，尤其是第四象限，未來半年至 1 年投資勝率竟可高達 100% 。而當循環落點滑落至第二象限時，則投資勝率僅 5 到 6 成，至第三象限時，投資勝率僅剩 2 到 3 成。

註：圖中數據點行經軌跡代表過去 12 個月數值。","tw-econ-cycle","[[[""2024-12-01"",""0.3500"",""0.5600""],[""2025-01-01"",""0.3500"",""0.5600""]]]","[""台灣-景氣循環圖""]"
"155","台灣-台股市值/GDP","股市總市值和 GDP 的比值，可作為判斷整體股市是否過熱或相對便宜。

","tw-marketcap-gdp","[[[""2025-04-18"",""244.2300""],[""2025-04-25"",""250.2100""]],[[""2025-04-25"",""19872.7305""],[""2025-04-28"",""20034.4102""]]]","[""台股市值/GDP(L)"", ""加權股價指數(R)""]"
"156","台灣-出口絕對值-國家","台灣主要出口地區以中國與香港、東協、美國為主，須特別留意三大經濟體景氣狀況。
","tw-exports-countries","[[[""2025-02-01"",""11719.2800""],[""2025-03-01"",""14308.8760""]],[[""2025-02-01"",""2112.4170""],[""2025-03-01"",""2552.5430""]],[[""2025-02-01"",""7698.4240""],[""2025-03-01"",""10307.7450""]],[[""2025-02-01"",""2623.9940""],[""2025-03-01"",""3422.3760""]],[[""2025-02-01"",""11772.9440""],[""2025-03-01"",""12752.3240""]]]","[""中國與香港"", ""日本"", ""東協"", ""歐洲"", ""美國""]"
"157","台灣-出口值-國家(年增率)","台灣主要出口地區以中國與香港、東協、美國為主，須特別留意三大經濟體景氣狀況。
","tw-exports-growth-countries","[[[""2025-02-01"",65.63631562190167],[""2025-03-01"",39.87075007513256]],[[""2025-02-01"",19.237538411518592],[""2025-03-01"",-4.023211515366172]],[[""2025-02-01"",17.274202848213825],[""2025-03-01"",15.795098268186885]],[[""2025-02-01"",-4.943355311610081],[""2025-03-01"",-0.04912299966880786]],[[""2025-02-01"",27.905192418554208],[""2025-03-01"",12.59729886898106]]]","[""美國"", ""日本"", ""東協"", ""歐洲"", ""中國與香港""]"
"158","台灣-進口絕對值-國家","台灣主要進口地區以中國與香港、東協、日本為主。","tw-imports-countries","[[[""2025-02-01"",""5908.3220""],[""2025-03-01"",""7822.3160""]],[[""2025-02-01"",""4598.2930""],[""2025-03-01"",""5258.2390""]],[[""2025-02-01"",""4429.4320""],[""2025-03-01"",""5296.3330""]],[[""2025-02-01"",""4018.1180""],[""2025-03-01"",""4738.9220""]],[[""2025-02-01"",""3746.1270""],[""2025-03-01"",""4376.5460""]],[[""2025-02-01"",""2442.5070""],[""2025-03-01"",""2303.1930""]]]","[""中國及香港"", ""日本"", ""東協"", ""歐洲"", ""美國"", ""中東""]"
"159","台灣-進口值-國家(年增率)","台灣主要進口地區以中國與香港、東協、日本為主。","tw-imports-countries-yoy","[[[""2025-02-01"",53.05435335339925],[""2025-03-01"",20.08053145232164]],[[""2025-02-01"",35.83852030147445],[""2025-03-01"",48.27292292063527]],[[""2025-02-01"",46.20875104411134],[""2025-03-01"",33.43491486361352]],[[""2025-02-01"",50.5963598606176],[""2025-03-01"",25.227676129951465]],[[""2025-02-01"",30.85156859328925],[""2025-03-01"",19.758750000315885]],[[""2025-02-01"",-2.8542910444858327],[""2025-03-01"",-17.071700155338526]]]","[""中國及香港"", ""中東"", ""日本"", ""東協"", ""歐洲"", ""美國""]"
"160","台灣-外銷訂單","外銷訂單可做為出口的領先指標，統計內涵包括業者接單後在國內生產及交由海外生產者，因此訂單生產後未盡全經由台灣海關出口，造成訂單金額與出口總值有落差。
","tw-export-orders","[[[""2025-02-01"",""49452.0000""],[""2025-03-01"",""53044.0000""]],[[""2025-02-01"",""31.1000""],[""2025-03-01"",""12.5000""]]]","[""台灣-外銷訂單(L)"", ""台灣-外銷訂單(年增率,R)""]"
"161","台灣-外銷訂單-國家(年增率)","反映各國對於台灣出口產品的需求情況，台灣外銷訂單主要接單地區以美國、中國為主，須特別留意該經濟體景氣。
","tw-export-orders-countries","[[[""2025-02-01"",32.16670689516453],[""2025-03-01"",30.6492966530386]],[[""2025-02-01"",28.932907348242807],[""2025-03-01"",-5.265052650526505]],[[""2025-02-01"",29.383116883116884],[""2025-03-01"",21.94260485651214]],[[""2025-02-01"",54.93971868720696],[""2025-03-01"",26.304503216583274]],[[""2025-02-01"",17.10081190798376],[""2025-03-01"",-8.273092369477911]]]","[""美國"", ""中國及香港"", ""日本"", ""東協"", ""歐洲""]"
"162","台灣-外銷訂單-產業(年增率,長條圖)","反映海外對於台灣各出口產品的需求情況，台灣外銷訂單主要接單貨品以電子產品、資訊與通信產品為主，兩者合計占比超過 50% 。其他貨品包括光學器材、基本金屬、塑橡膠製品、化學品、機械、電機產品、礦產品。

電子產品包括積體電路、晶圓、電晶體、記憶體（DRAM 、 NAND Flash）、太陽電池、電阻、電容、天線、 PCB 、二極體、放大器、轉換器、處理器、控制器等貨品以及相關零組件。

資通訊產品包括電腦（桌上、筆記、平板）、手機、電視機、伺服器、光碟機、電話機、鍵盤、滑鼠、掃描器、基地台、磁碟機等貨品以及相關零組件。","tw-export-orders-industries","[[[""2025-02-01"",31.7986024696085],[""2025-03-01"",11.441475348136997]],[[""2025-02-01"",48.59240199788103],[""2025-03-01"",21.843189529810957]],[[""2025-02-01"",16.595744680851062],[""2025-03-01"",10.350877192982457]],[[""2025-02-01"",13.423831070889895],[""2025-03-01"",2.3465703971119134]],[[""2025-02-01"",6.736526946107785],[""2025-03-01"",-6.1175045427013925]],[[""2025-02-01"",3.2222222222222223],[""2025-03-01"",-3.8150807899461405]],[[""2025-02-01"",6.721433905899925],[""2025-03-01"",-8.703819661865998]]]","[""資訊與通信"", ""電子"", ""光學器材"", ""機械"", ""塑橡膠製品"", ""基本金屬"", ""化學品""]"
"163","港幣",,"usd-hkd","[[[""2024-12-19"",""7.7695""],[""2024-12-20"",""7.7750""]],[[""2024-12-19"",""108.4100""],[""2024-12-20"",""107.6200""]]]","[""美元/港幣""]"
"164","台灣-0050借券賣出餘額","「借券賣出」是投資人（法人）已經賣出的借券。
「借券賣出餘額」等於當日借券賣出的數量（累計至前一日尚未回補的數量減除本日回補的數量），通常為法人空方指標，與台股呈反向走勢。","tw-0050-short-sales","[[[""2024-12-10"",""21.2400""],[""2024-12-11"",""21.2590""]],[[""2024-12-11"",""22903.6309""],[""2024-12-12"",""23046.8008""]]]","[""元大0050借券賣出餘額(千張,L)"", ""加權股價指數(R)""]"
"165","台灣-外銷訂單海外生產比","外銷訂單統計內涵包括業者接單後在國內生產及交由海外生產者，因此訂單生產後未盡全經由我國海關出口，而外銷訂單海外生產比反映訂單中有多少比例在海外生產，目前約 50% 以上，顯示多數訂單由台灣接單，但由海外生產。

另外，由於傳統貨品的海外生產比較低，科技類貨品的海外生產比較高，當指標高於 50 以上，代表科技類貨品的接單情況好於傳統貨品，反之為傳統貨品好於科技類貨品。","tw-overseas-production-ratio","[[[""2025-02-01"",""45.3700""],[""2025-03-01"",""45.5000""]]]","[""台灣-外銷訂單海外生產比""]"
"166","台灣-指標利率","台灣央行經由審慎評估重貼現率與各天期央行存單發行利率的妥適水準，以反映本行貨幣政策方向，以重貼現率為主要政策利率，於每季理事會，經綜合考量當前物價、通膨展望及產出缺口等國內外經濟金融情勢變化後訂定，具有宣示作用；此外，由於重貼現率為市場取得最後融通的利率，具懲罰性質，近年也成為本行利率操作架構的上限，其他重要政策利率包含擔保放款融通利率、短期融通利率。
","tw-target-rate","[[[""2025-02-01"",""2.0000""],[""2025-03-01"",""2.0000""]],[[""2025-02-01"",""2.3750""],[""2025-03-01"",""2.3750""]],[[""2025-02-01"",""4.2500""],[""2025-03-01"",""4.2500""]]]","[""重貼現率"", ""擔保放款融通利率"", ""短期融通利率""]"
"167","台灣-經常性薪資","名目經常性薪資為每月給付受僱員工之工作報酬，包括本薪及按月給付之固定津貼及獎金，如危險津貼、交通費、膳食費、水電費、按月發放之工作（生產、績效、業績）獎金及全勤獎金等；其以實物方式給付者，應按實價折值計入；以上均不扣除應付所得稅、保險費及工會會費，不包括非按月發放之工作(生產、績效、業績)獎金、端午、中秋或年終獎金、員工酬勞（包含現金及股票，其中股票依會計處理時所認列之價值填列）、不休假獎金、補發調薪差額及加班補休屆期未休而發給之加班費等。

「實質經常性薪資」為經常性薪資扣除通膨影響因素所得，較能表示真正薪資可消費的能力。","tw-monthly-regular-earnings-of-all-employees","[[[""2025-01-01"",""47445.0000""],[""2025-02-01"",""47296.0000""]],[[""2025-01-01"",""43352.5219""],[""2025-02-01"",""43406.7547""]],[[""2025-01-01"",0.19830251576552627],[""2025-02-01"",1.4116427653335433]]]","[""台灣-名目經常性薪資(L)"", ""台灣-實質經常性薪資(L)"", ""台灣-實質經常性薪資(年增率,R)""]"
"168","美國-商銀貸款拖欠率","美國商業銀行貸款拖欠率統計分為：住宅貸款、商業住宅貸款、信用卡貸款與企業貸款。數字於季度後 60 天公佈，可觀察整體美國消費與企業貸款拖欠狀況。","us-delinquency-rate","[[[""2024-07-01"",""1.7400""],[""2024-10-01"",""1.7700""]],[[""2024-07-01"",""1.5100""],[""2024-10-01"",""1.5700""]],[[""2024-07-01"",""1.1800""],[""2024-10-01"",""1.2800""]],[[""2024-07-01"",""3.2000""],[""2024-10-01"",""3.0800""]]]","[""住宅(SA)"", ""商業住宅(SA)"", ""企業(SA)"", ""信用卡(SA)""]"
"169","台灣-國泰房地產可能成交價指數(年增率)","信義房價指數樣本為純住中古屋物件，並排除預售物件；國泰房價指數（國泰房地產可能成交價指數）則針對預售及新屋物件。兩者主要差別即為分別代表台灣中古屋及預售屋市場價格。

註：自 111Q1 起，基期為民國 110 年全年=100","tw-house-price-cathay","[[[""2024-07-01"",16.15283459964934],[""2024-10-01"",17.21699832349297]],[[""2024-07-01"",13.750535790827254],[""2024-10-01"",5.371454993834771]],[[""2024-07-01"",16.910615319027983],[""2024-10-01"",17.6135964604256]],[[""2024-07-01"",21.005594710455565],[""2024-10-01"",20.26111150745524]],[[""2024-07-01"",9.162172331619205],[""2024-10-01"",21.44522144522145]],[[""2024-07-01"",7.352845316472199],[""2024-10-01"",15.133090122956341]],[[""2024-07-01"",11.358684192029237],[""2024-10-01"",8.663638865951008]],[[""2024-07-01"",13.98400965454819],[""2024-10-01"",6.365052393089762]]]","[""全國"", ""台北市"", ""新北市"", ""桃園市"", ""新竹縣市"", ""台中市"", ""台南市"", ""高雄市""]"
